defeito,estrategia,threshold,recall,precision,f1
warpage,F-beta β=2 (recall-weighted),0.5300000000000001,1.0,0.3426,0.5103
shrinkage_porosity,F-beta β=2 (recall-weighted),0.5400000000000001,1.0,0.5,0.6667
volumetric_variation,F-beta β=2 (recall-weighted),0.05,1.0,0.5915,0.7434
dimensional_deviation,F-beta β=2 (recall-weighted),0.39000000000000007,0.988,0.5985,0.7455
gas_porosity,F-beta β=2 (recall-weighted),0.05,1.0,0.5402,0.7015
gas_bubbles,F-beta β=2 (recall-weighted),0.42000000000000004,0.9767,0.6238,0.7613
internal_shrinkage,F-beta β=2 (recall-weighted),0.16000000000000003,1.0,0.3962,0.5676
cracks,F-beta β=2 (recall-weighted),0.7800000000000001,1.0,0.5254,0.6889
hard_inclusions,F-beta β=2 (recall-weighted),0.29000000000000004,0.9524,0.3125,0.4706
oxide_inclusions,F-beta β=2 (recall-weighted),0.2,0.9592,0.4017,0.5663
blisters_post_treatment,F-beta β=0.5 (precision-weighted),0.9000000000000002,0.6413,0.7024,0.6705
surface_blisters,F-beta β=0.5 (precision-weighted),0.8700000000000002,0.5269,0.6203,0.5698
die_sticking,F-beta β=0.5 (precision-weighted),0.9000000000000002,0.4545,0.5952,0.5155
flow_lines,F-beta β=0.5 (precision-weighted),0.8100000000000002,0.76,0.4935,0.5984
surface_streaks,F-beta β=0.5 (precision-weighted),0.9000000000000002,0.4286,0.6,0.5
cold_shut,F-beta β=0.5 (precision-weighted),0.9000000000000002,0.6884,0.7661,0.7252
heat_cracks,F-beta β=0.5 (precision-weighted),0.8600000000000002,0.5,0.5,0.5
die_soldering,F-beta β=0.5 (precision-weighted),0.7100000000000002,0.9701,0.5417,0.6952
surface_oxide_inclusions,F-beta β=0.5 (precision-weighted),0.8200000000000002,0.55,0.5366,0.5432
low_tensile_strength,F-beta β=0.5 (precision-weighted),0.9000000000000002,0.575,0.7541,0.6525
low_elongation,F-beta β=0.5 (precision-weighted),0.7600000000000002,0.7262,0.604,0.6595
low_ultimate_strength,F-beta β=0.5 (precision-weighted),0.8900000000000002,0.4857,0.6538,0.5574
low_fatigue_resistance,F-beta β=0.5 (precision-weighted),0.9000000000000002,0.4868,0.8409,0.6167
low_surface_hardness,F-beta β=0.5 (precision-weighted),0.8700000000000002,0.7538,0.7313,0.7424
density_deviation,F-beta β=0.5 (precision-weighted),0.8500000000000002,0.7357,0.6645,0.6983
incomplete_fill,F-beta β=0.5 (precision-weighted),0.8700000000000002,0.6857,0.699,0.6923
flash,F-beta β=0.5 (precision-weighted),0.8300000000000002,0.6122,0.4688,0.531
warpage,F-beta β=0.5 (precision-weighted),0.8000000000000002,0.8919,0.3929,0.5455
shrinkage_porosity,F-beta β=0.5 (precision-weighted),0.9000000000000002,0.7,0.5833,0.6364
volumetric_variation,F-beta β=0.5 (precision-weighted),0.9000000000000002,0.7262,0.7011,0.7135
dimensional_deviation,F-beta β=0.5 (precision-weighted),0.9000000000000002,0.8072,0.7204,0.7614
gas_porosity,F-beta β=0.5 (precision-weighted),0.8800000000000002,0.7305,0.741,0.7357
gas_bubbles,F-beta β=0.5 (precision-weighted),0.8500000000000002,0.6822,0.7097,0.6957
internal_shrinkage,F-beta β=0.5 (precision-weighted),0.8500000000000002,0.8095,0.5397,0.6476
cracks,F-beta β=0.5 (precision-weighted),0.7800000000000001,1.0,0.5254,0.6889
hard_inclusions,F-beta β=0.5 (precision-weighted),0.6500000000000001,0.6667,0.35,0.459
oxide_inclusions,F-beta β=0.5 (precision-weighted),0.9000000000000002,0.4694,0.561,0.5111
